product_category_name,product_category_name_english
BELEZA SAUDE,HEALTH BEAUTY
INFORMATICA ACESSORIOS,COMPUTERS ACCESSORIES
AUTOMOTIVO,AUTO
CAMA MESA BANHO,BED BATH TABLE
MOVEIS DECORACAO,FURNITURE DECOR
ESPORTE LAZER,SPORTS LEISURE
PERFUMARIA,PERFUMERY
UTILIDADES DOMESTICAS,HOUSEWARES
TELEFONIA,TELEPHONY
RELOGIOS PRESENTES,WATCHES GIFTS
ALIMENTOS BEBIDAS,FOOD DRINK
BEBES,BABY
PAPELARIA,STATIONERY
TABLETS IMPRESSAO IMAGEM,TABLETS PRINTING IMAGE
BRINQUEDOS,TOYS
TELEFONIA FIXA,FIXED TELEPHONY
FERRAMENTAS JARDIM,GARDEN TOOLS
FASHION BOLSAS E ACESSORIOS,FASHION BAGS ACCESSORIES
ELETROPORTATEIS,SMALL APPLIANCES
CONSOLES GAMES,CONSOLES GAMES
AUDIO,AUDIO
FASHION CALCADOS,FASHION SHOES
COOL STUFF,COOL STUFF
MALAS ACESSORIOS,LUGGAGE ACCESSORIES
CLIMATIZACAO,AIR CONDITIONING
CONSTRUCAO FERRAMENTAS CONSTRUCAO,CONSTRUCTION TOOLS CONSTRUCTION
MOVEIS COZINHA AREA DE SERVICO JANTAR E JARDIM,KITCHEN DINING LAUNDRY GARDEN FURNITURE
CONSTRUCAO FERRAMENTAS JARDIM,COSTRUCTION TOOLS GARDEN
FASHION ROUPA MASCULINA,FASHION MALE CLOTHING
PET SHOP,PET SHOP
MOVEIS ESCRITORIO,OFFICE FURNITURE
MARKET PLACE,MARKET PLACE
ELETRONICOS,ELECTRONICS
ELETRODOMESTICOS,HOME APPLIANCES
ARTIGOS DE FESTAS,PARTY SUPPLIES
CASA CONFORTO,HOME CONFORT
CONSTRUCAO FERRAMENTAS FERRAMENTAS,COSTRUCTION TOOLS TOOLS
AGRO INDUSTRIA E COMERCIO,AGRO INDUSTRY AND COMMERCE
MOVEIS COLCHAO E ESTOFADO,FURNITURE MATTRESS AND UPHOLSTERY
LIVROS TECNICOS,BOOKS TECHNICAL
CASA CONSTRUCAO,HOME CONSTRUCTION
INSTRUMENTOS MUSICAIS,MUSICAL INSTRUMENTS
MOVEIS SALA,FURNITURE LIVING ROOM
CONSTRUCAO FERRAMENTAS ILUMINACAO,CONSTRUCTION TOOLS LIGHTS
INDUSTRIA COMERCIO E NEGOCIOS,INDUSTRY COMMERCE AND BUSINESS
ALIMENTOS,FOOD
ARTES,ART
MOVEIS QUARTO,FURNITURE BEDROOM
LIVROS INTERESSE GERAL,BOOKS GENERAL INTEREST
CONSTRUCAO FERRAMENTAS SEGURANCA,CONSTRUCTION TOOLS SAFETY
FASHION UNDERWEAR E MODA PRAIA,FASHION UNDERWEAR BEACH
FASHION ESPORTE,FASHION SPORT
SINALIZACAO E SEGURANCA,SIGNALING AND SECURITY
PCS,COMPUTERS
ARTIGOS DE NATAL,CHRISTMAS SUPPLIES
FASHION ROUPA FEMININA,FASHIO FEMALE CLOTHING
LIVROS IMPORTADOS,BOOKS IMPORTED
BEBIDAS,DRINKS
CINE FOTO,CINE PHOTO
LA CUISINE,LA CUISINE
MUSICA,MUSIC
PORTATEIS CASA FORNO E CAFE,SMALL APPLIANCES HOME OVEN AND COFFEE
CDS DVDS MUSICAIS,CDS DVDS MUSICALS
DVDS BLU RAY,DVDS BLU RAY
FLORES,FLOWERS
ARTES E ARTESANATO,ARTS AND CRAFTMANSHIP
FRALDAS HIGIENE,DIAPERS AND HYGIENE
FASHION ROUPA INFANTO JUVENIL,FASHION CHILDRENS CLOTHES
SEGUROS E SERVICOS,SECURITY AND SERVICES
PC GAMER,PC GAMER
PORTATEIS COZINHA E PREPARADORES DE ALIMENTOS,KITCHEN PORTABLES AND FOOD PREPARATION
N/E,N/S
